Date,AIBALMA AB Equity,LODFUIA LX Equity,CCASORI MK Equity,BBFTOP3 KY Equity,CRLCBUU LX Equity,BCUSDLF KK Equity,PGPGIFA ID Equity,PFGLAAU LX Equity,ALPCRDA LX Equity,BUTIBLI KY Equity
17/04/2020,16.6991,112.35,2.5766,1275.83,10.69,10.76,1.201,114.32,116.33,29.97
24/04/2020,16.8738,112.35,2.5808,1276.46,10.69,10.77,1.201,114.32,117.05,29.32
01/05/2020,16.6996,112.33,2.5811,1276.78,10.68,10.77,1.203,114.97,116.8,30
08/05/2020,16.8233,112.33,2.5871,1278.59,10.71,10.77,1.204,114.97,116.74,29.84
15/05/2020,16.9853,112.33,2.5927,1279.82,10.68,10.78,1.212,115.36,117.38,29.95
22/05/2020,17.2032,112.33,2.6004,1281.12,10.7,10.78,1.224,115.36,117.62,30.28
29/05/2020,17.3261,112.6,2.5998,1282.79,10.69,10.78,1.224,117.02,119.76,30.74
05/06/2020,17.4875,112.6,2.6114,1284.16,10.76,10.79,1.243,117.02,119.76,31.34
12/06/2020,17.626,112.6,2.6161,1285.54,10.76,10.79,1.238,117.02,122.45,32.01
19/06/2020,17.6913,112.6,2.6282,1286.93,10.77,10.79,1.245,117.37,122.07,31.56
26/06/2020,17.7114,112.6,2.6415,1288.42,10.79,10.79,1.241,117.37,122.46,31.66
03/07/2020,17.9337,112.74,2.6358,1290.01,10.81,10.8,1.245,118.62,122.53,31.42
10/07/2020,18.0356,112.74,2.6567,1291.25,10.83,10.8,1.24,118.62,123.35,31.74
17/07/2020,18.0629,112.74,2.6583,1292.6,10.86,10.8,1.24,120.44,123.44,32.05
24/07/2020,18.1828,112.74,2.6688,1294.06,10.88,10.8,1.246,120.44,123.98,32.46
31/07/2020,18.1828,112.79,2.6673,1295.07,10.87,10.81,1.244,121.1,124.94,32.14
07/08/2020,18.4428,112.79,2.6775,1296.6,10.85,10.81,1.246,121.1,124.94,32.14
14/08/2020,18.524,112.79,2.6689,1298.08,10.88,10.81,1.25,121.1,125.75,32.87
21/08/2020,18.6741,112.79,2.6848,1299.52,10.9,10.81,1.25,121.65,125.93,32.87
28/08/2020,18.7612,112.79,2.6853,1301.02,10.93,10.81,1.249,121.65,126.14,33.4
04/09/2020,18.88,112.75,2.6902,1302.31,10.96,10.82,1.248,123.29,126.51,33.77
11/09/2020,18.7854,112.75,2.6883,1303.76,11.01,10.82,1.246,123.29,127.16,32.79
18/09/2020,18.9635,112.75,2.6914,1305.06,11.04,10.82,1.245,122.89,127.33,33.26
25/09/2020,18.831,112.75,2.6886,1306.36,11.06,10.82,1.238,122.89,127.41,32.69
02/10/2020,18.8113,113.03,2.6935,1307.88,11.07,10.82,1.241,121.95,126.94,32.92
09/10/2020,19.0639,113.03,2.7016,1309.4,11.1,10.83,1.251,121.95,127.18,32.94
16/10/2020,19.2005,113.03,2.7062,1310.85,11.1,10.83,1.249,122.16,127.64,33.67
23/10/2020,18.9379,113.03,2.713,1312.39,11.11,10.83,1.252,122.16,127.67,33.26
30/10/2020,18.7346,113.36,2.7119,1313.79,11.1,10.83,1.249,121.65,127.25,33.26
06/11/2020,18.8804,113.36,2.7266,1315.14,11.13,10.83,1.256,121.65,127.25,32.78
