,PFGDAAU LX Equity,PFTEAAU LX Equity,PFCSAAU LX Equity,PFARAAU LX Equity,PFBKAAU LX Equity,PFGOAAU LX Equity,AIBALMA AB Equity,LODFUIA LX Equity,CCASORI MK Equity,CCASLTF MK Equity,BBFTOP3 KY Equity,CRLCBUU LX Equity,BCUSDLF KK Equity,GMFDEBI LE Equity,PGPGIFA ID Equity,BLUESPH BM Equity,PFGLAAU LX Equity,ALPCRDA LX Equity,ALCONGP AB Equity,UBSFLBI LX Equity,BUTIBLI KY Equity,PGPCBFA ID Equity,SCHGTRA LX Equity
2020-04-17,124.39,132.46,125.93,143.85,101.57,118.35,16.6991,112.35,2.5766,3.3116,1275.83,10.69,10.76,107.95,1.201,1076.21,114.32,116.33,1.5334,146.37,29.97,1.779,107.962
2020-04-24,124.39,132.46,125.93,143.85,101.57,118.35,16.8738,112.35,2.5808,3.3167,1276.46,10.69,10.77,107.95,1.201,1076.21,114.32,117.05,1.5345,146.42,29.32,1.764,107.9444
2020-05-01,125.93,132.19,126.97,144.87,102.16,116.12,16.6996,112.33,2.5811,3.3174,1276.78,10.68,10.77,107.58,1.203,1087.01,114.97,116.8,1.531,146.87,30.0,1.804,108.6293
2020-05-08,125.93,132.19,126.97,144.87,102.16,116.12,16.8233,112.33,2.5871,3.3203,1278.59,10.71,10.77,107.58,1.204,1087.01,114.97,116.74,1.5408,147.04,29.84,1.819,108.6894
2020-05-15,125.93,132.19,126.97,144.87,102.16,116.12,16.9853,112.33,2.5927,3.3325,1279.82,10.68,10.78,107.58,1.212,1087.01,115.36,117.38,1.5415,146.93,29.95,1.793,108.4216
2020-05-22,125.93,132.19,126.97,144.87,102.16,116.12,17.2032,112.33,2.6004,3.3373,1281.12,10.7,10.78,107.58,1.224,1087.01,115.36,117.62,1.5457,147.42,30.28,1.755,110.2394
2020-05-29,128.35,134.27,129.01,151.06,104.06,118.38,17.3261,112.6,2.5998,3.3436,1282.79,10.69,10.78,107.73,1.224,1097.59,117.02,119.76,1.5492,147.81,30.74,1.766,111.3849
2020-06-05,128.35,134.27,129.01,151.06,104.06,118.38,17.4875,112.6,2.6114,3.3552,1284.16,10.76,10.79,107.73,1.243,1097.59,117.02,119.76,1.5508,148.41,31.34,1.826,112.9313
2020-06-12,128.35,134.27,129.01,151.06,104.06,118.38,17.626,112.6,2.6161,3.3614,1285.54,10.76,10.79,107.73,1.238,1097.59,117.02,122.45,1.5499,148.01,32.01,1.829,112.844
2020-06-19,128.35,134.27,129.01,151.06,104.06,118.38,17.6913,112.6,2.6282,3.371,1286.93,10.77,10.79,107.73,1.245,1097.59,117.37,122.07,1.5544,148.4,31.56,1.877,113.1596
2020-06-26,128.35,134.27,129.01,151.06,104.06,118.38,17.7114,112.6,2.6415,3.3919,1288.42,10.79,10.79,107.73,1.241,1097.59,117.37,122.46,1.5522,148.22,31.66,1.888,112.8433
2020-07-03,130.43,137.07,130.64,153.08,105.99,121.57,17.9337,112.74,2.6358,3.3829,1290.01,10.81,10.8,107.91,1.245,1104.38,118.62,122.53,1.5561,148.49,31.42,2.0,113.6533
2020-07-10,130.43,137.07,130.64,153.08,105.99,121.57,18.0356,112.74,2.6567,3.3992,1291.25,10.83,10.8,107.91,1.24,1104.38,118.62,123.35,1.5645,148.69,31.74,2.153,114.5137
2020-07-17,130.43,137.07,130.64,153.08,105.99,121.57,18.0629,112.74,2.6583,3.4325,1292.6,10.86,10.8,107.91,1.24,1104.38,120.44,123.44,1.5684,148.91,32.05,2.084,114.7153
2020-07-24,130.43,137.07,130.64,153.08,105.99,121.57,18.1828,112.74,2.6688,3.4292,1294.06,10.88,10.8,107.91,1.246,1104.38,120.44,123.98,1.5733,148.95,32.46,2.056,115.417
2020-07-31,133.33,137.89,132.1,153.93,108.17,123.8,18.1828,112.79,2.6673,3.4277,1295.07,10.87,10.81,108.09,1.244,1122.17,121.1,124.94,1.5785,148.99,32.14,2.125,115.6841
2020-08-07,133.33,137.89,132.1,153.93,108.17,123.8,18.4428,112.79,2.6775,3.4373,1296.6,10.85,10.81,108.09,1.246,1122.17,121.1,124.94,1.5899,149.28,32.14,2.14,116.4623
2020-08-14,133.33,137.89,132.1,153.93,108.17,123.8,18.524,112.79,2.6689,3.4311,1298.08,10.88,10.81,108.09,1.25,1122.17,121.1,125.75,1.5898,149.46,32.87,2.144,116.5861
2020-08-21,133.33,137.89,132.1,153.93,108.17,123.8,18.6741,112.79,2.6848,3.4315,1299.52,10.9,10.81,108.09,1.25,1122.17,121.65,125.93,1.591,149.5,32.87,2.156,116.2433
2020-08-28,133.33,137.89,132.1,153.93,108.17,123.8,18.7612,112.79,2.6853,3.4497,1301.02,10.93,10.81,108.09,1.249,1122.17,121.65,126.14,1.6027,149.87,33.4,2.205,116.7222
2020-09-04,134.93,139.17,134.16,155.57,109.93,126.33,18.88,112.75,2.6902,3.4602,1302.31,10.96,10.82,108.1,1.248,1133.37,123.29,126.51,1.594,149.58,33.77,2.184,116.8561
2020-09-11,134.93,139.17,134.16,155.57,109.93,126.33,18.7854,112.75,2.6883,3.451,1303.76,11.01,10.82,108.1,1.246,1133.37,123.29,127.16,1.5932,149.63,32.79,2.134,116.2444
2020-09-18,134.93,139.17,134.16,155.57,109.93,126.33,18.9635,112.75,2.6914,3.4597,1305.06,11.04,10.82,108.1,1.245,1133.37,122.89,127.33,1.5976,149.64,33.26,2.206,116.6135
2020-09-25,134.93,139.17,134.16,155.57,109.93,126.33,18.831,112.75,2.6886,3.4571,1306.36,11.06,10.82,108.1,1.238,1133.37,122.89,127.41,1.5879,149.2,32.69,2.126,115.0659
2020-10-02,134.85,139.35,133.97,156.04,109.34,126.3,18.8113,113.03,2.6935,3.4563,1307.88,11.07,10.82,108.22,1.241,1119.46,121.95,126.94,1.5832,149.48,32.92,2.144,115.9955
2020-10-09,134.85,139.35,133.97,156.04,109.34,126.3,19.0639,113.03,2.7016,3.4658,1309.4,11.1,10.83,108.22,1.251,1119.46,121.95,127.18,1.5969,149.87,32.94,2.206,117.5361
2020-10-16,134.85,139.35,133.97,156.04,109.34,126.3,19.2005,113.03,2.7062,3.4687,1310.85,11.1,10.83,108.22,1.249,1119.46,122.16,127.64,1.5947,149.97,33.67,2.25,117.926
2020-10-23,134.85,139.35,133.97,156.04,109.34,126.3,18.9379,113.03,2.713,3.4856,1312.39,11.11,10.83,108.22,1.252,1119.46,122.16,127.67,1.6007,149.83,33.26,2.234,117.9037
2020-10-30,139.2,141.32,135.44,156.51,108.87,125.56,18.7346,113.36,2.7119,3.4831,1313.79,11.1,10.83,108.34,1.249,1109.5,121.65,127.25,1.5824,149.11,33.26,2.218,116.3402
2020-11-06,139.2,141.32,135.44,156.51,108.87,125.56,18.8804,113.36,2.7266,3.4907,1315.14,11.13,10.83,108.34,1.256,1109.5,121.65,127.25,1.6097,150.1,32.78,2.314,119.1977
